
Anlagezeitraum (Jahre)	Minimale Rendite (%)	Maximale Rendite (%)
1	-42.2	51.7
2	-32.9	37.4
3	-24.7	31.9
4	-18.6	31.0
5	-13.0	29.9
6	-8.4	26.9
7	-7.1	24.8
8	-6.7	23.4
9	-6.7	21.8
10	-6.2	20.3
11	-5.3	18.7
12	-4.2	17.7
13	-2.9	17.0
14	-1.6	16.4
15	-0.7	16.0
16	0.2	15.2
17	1.0	15.1
18	1.6	15.2
19	2.0	15.2
20	2.2	15.4
21	2.6	15.5
22	2.8	15.5
23	3.1	15.4
24	3.4	15.1
25	3.8	15.0
26	4.2	13.7
27	4.7	12.3
28	5.2	10.0
29	5.7	10.1
30	6.2	10.1
31	6.5	10.2
32	6.8	10.1
33	6.9	9.6
34	7.1	9.2
35	7.2	9.2
36	7.4	9.1
37	7.6	9.0
38	7.8	9.0
39	8.0	8.9
40	8.1	9.0
41	8.2	9.1
42	8.4	9.3
43	8.6	9.5
44	8.7	9.6
45	8.9	9.7
46	9.0	9.7
47	9.0	9.7
48	9.1	9.7
49	9.4	9.7
50	9.8	9.8
